id,company,address,city,state,zip,phone,website,status,notes
1,Top Rank Heating and Air Conditioning,9100 Elkmont Way,Elk Grove,CA,95624,916-667-3399,,not_contacted,
2,Aire Serv of Greater Sacramento,,Sacramento,CA,95831,916-426-9398,,not_contacted,
3,All About Temperature,6500 Villa Dr,Sacramento,CA,95842,916-912-7367,,not_contacted,
4,All Year Heating & Air Conditioning,801 Plaza Ave,Sacramento,CA,95815,916-922-7796,,not_contacted,
5,Arctic Heating & Air,,Sacramento,CA,95820,916-457-2222,,not_contacted,
6,Authority Heating & Air Conditioning,,Sacramento,CA,95834,916-474-9916,,not_contacted,
7,Barnett Heating & Air,658 Commerce Dr Ste A,Roseville,CA,95678,916-804-1774,,not_contacted,
8,Bell Brothers,10555 Norden Ave,Mather,CA,95655,916-226-9677,,not_contacted,
9,Big Mountain Heating & Air Conditioning,1670 Bell Ave Ste 110,Sacramento,CA,95838,916-925-7680,,not_contacted,
10,Bronco Heating and Air,4200 Melisa Ct,Carmichael,CA,95608,916-675-1062,,not_contacted,
11,CABS Heating & Air Conditioning,3346 Jefferson Blvd,West Sacramento,CA,95691,916-375-1800,,not_contacted,
12,Comfort 1 Heating & Air Conditioning,921 Washington Blvd Ste 407,Roseville,CA,95678,916-749-4485,,not_contacted,
13,D And L Heating And Air,3365 Martinique St,West Sacramento,CA,95691,916-997-2345,,not_contacted,
14,Don's Heating & Cooling,,Rancho Cordova,CA,95670,916-212-7157,,not_contacted,
15,Ellis Heating and Air,2443 Fair Oaks Blvd Ste 434,Sacramento,CA,95825,916-467-0231,,not_contacted,
16,Fox Family Heating and Air Conditioning,,Rancho Cordova,CA,,916-877-1577,,not_contacted,
17,Garick Air Conditioning Service,2122 X St,Sacramento,CA,95818,916-452-2477,,not_contacted,
18,Huft Heating and Air Conditioning,10103 Iron Rock Way,Elk Grove,CA,95624,916-686-2626,,not_contacted,
19,Jaguar Heating & Air,819 Striker Ave Ste 9,Sacramento,CA,95834,916-646-2007,,not_contacted,
20,K&K Heating and Air,,Elk Grove,CA,95624,916-627-0096,,not_contacted,
21,Kleenair Heating and Air Conditioning,1657 Silica Ave,Sacramento,CA,95815,916-922-3995,,not_contacted,
22,Mars One Heating & Air Conditioning,,Citrus Heights,CA,95610,916-308-5050,,not_contacted,
23,Premium Heating and Air Conditioning Inc,1017 L St Ste 402,Sacramento,CA,95814,916-944-8829,,not_contacted,
24,REO Mechanical,2795 Del Monte St Ste A,West Sacramento,CA,95691,916-372-3776,,not_contacted,
25,Rico's Heating & Air,1731 Howe Ave Ste 578,Sacramento,CA,95825,916-834-3874,,not_contacted,
26,Robert's Heating & Air Conditioning,,Roseville,CA,95678,916-600-2046,,not_contacted,
27,Rocklin Heating & Air,5706 Lonetree Blvd,Rocklin,CA,95765,916-626-5151,,not_contacted,
28,Sierra Aire Heating and Air Conditioning,,Sacramento,CA,95827,916-671-5542,,not_contacted,
29,Upton Air,11357-B Pyrites Way Ste 7,Rancho Cordova,CA,95670,916-400-4572,,not_contacted,
30,Valley Heating & Air Conditioning,8232 Fair Oaks Blvd,Carmichael,CA,95608,916-944-3723,,not_contacted,
31,Young's Heating & Air Conditioning,5528 Auburn Blvd Unit 1,Sacramento,CA,95841,916-967-5026,,not_contacted,
32,Elite Heating and Air Conditioning,,Elk Grove,CA,,916-647-4869,,not_contacted,
33,Comfort Mechanical Services,,Galt,CA,95632,916-430-7011,,not_contacted,
34,Ace Plumbing Heating and Air,3011 Academy Way,Sacramento,CA,,,,not_contacted,
35,Tower Heating and Air Conditioning,3920 39th St,Sacramento,CA,,,not_contacted,
